quarter,step_start,step_end,pct_complete,train_loss_start,train_loss_end,avg_train_loss,min_train_loss,val_bpb_at_end,val_bpb_improvement,avg_tok_per_sec,elapsed_min_start,elapsed_min_end,quarter_duration_min
1,0,499,25%,9.011375,3.235349,4.115754,3.173725,1.13985,2.076907,112785,0.0,18.91,18.91
2,500,999,50%,3.213479,3.03152,3.080939,2.953355,1.06395,0.0759,112965,18.95,38.25,19.3
3,1000,1499,75%,3.018906,2.820596,2.904673,2.770689,1.01101,0.05294,112946,38.29,57.59,19.3
4,1500,1999,100%,2.812647,2.749872,2.775411,2.637272,0.97571,0.0353,112968,57.63,76.93,19.3
